class, ncloc, cloc, dc, testMethodsLoc, numberOfMethods, numberOfTestMethods, numberOfFunctionalMethods, rfc, wmc, gitFileAge, gitTotCommits
org.jfree.chart.entity.LegendItemEntityTest, 39, 61, 0.61, 37, 3, 3, 0, 12, 3, January/3/2022/6:42, 9
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGeneratorTest, 45, 86, 0.6564885496183206, 43, 5, 5, 0, 9, 5, January/3/2022/6:42, 8
org.jfree.chart.plot.dial.AbstractDialLayerTest, 31, 60, 0.6593406593406593, 29, 3, 3, 0, 12, 3, January/3/2022/6:42, 7
org.jfree.chart.renderer.category.DefaultCategoryItemRendererTest, 33, 64, 0.6597938144329897, 31, 5, 5, 0, 9, 5, January/3/2022/6:42, 10
org.jfree.chart.renderer.category.StatisticalLineAndShapeRendererTest, 75, 101, 0.5738636363636364, 60, 8, 7, 1, 20, 9, January/3/2022/6:42, 13
org.jfree.chart.renderer.xy.XYStepRendererTest, 88, 86, 0.4942528735632184, 40, 7, 5, 2, 15, 9, January/3/2022/6:42, 14
org.jfree.chart.renderer.xy.RendererXYPackageUtils, 26, 55, 0.6790123456790124, 0, 2, 0, 2, 2, 2, January/1/2022/2:44, 4
org.jfree.chart.plot.compass.MiddlePinNeedleTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 6, 3, January/3/2022/6:42, 3
org.jfree.chart.imagemap.ImageMapUtilsTest, 41, 66, 0.616822429906542, 39, 5, 5, 0, 7, 5, January/1/2022/2:44, 6
org.jfree.chart.plot.compass.ShipNeedleTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 6, 3, January/3/2022/6:42, 3
org.jfree.chart.WaterfallChartTest, 38, 87, 0.696, 16, 5, 2, 3, 14, 6, January/3/2022/6:42, 8
org.jfree.chart.labels.StandardXYItemLabelGeneratorTest, 85, 75, 0.46875, 83, 5, 5, 0, 16, 5, January/3/2022/6:42, 9
org.jfree.chart.renderer.xy.CandlestickRendererTest, 97, 98, 0.5025641025641026, 94, 7, 7, 0, 28, 7, January/3/2022/6:42, 10
org.jfree.chart.title.TextTitleTest, 64, 73, 0.5328467153284672, 62, 4, 4, 0, 18, 4, January/3/2022/6:42, 10
org.jfree.chart.plot.pie.PiePlotTest$NullLegendLabelGenerator, 8, 589, 0.9865996649916248, 0, 2, 0, 2, 0, 2, January/3/2022/6:42, 3
org.jfree.chart.imagemap.StandardURLTagFragmentGeneratorTest, 8, 52, 0.8666666666666667, 6, 1, 1, 0, 2, 1, January/1/2022/2:44, 3
org.jfree.chart.plot.compass.PointerNeedleTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 6, 3, January/3/2022/6:42, 3
org.jfree.chart.axis.AxisLocationTest, 23, 56, 0.7088607594936709, 21, 3, 3, 0, 4, 4, January/3/2022/6:42, 6
org.jfree.chart.axis.StandardTickUnitSourceTest, 12, 51, 0.8095238095238095, 10, 2, 2, 0, 2, 2, January/3/2022/6:42, 7
org.jfree.chart.entity.CategoryItemEntityTest, 46, 65, 0.5855855855855856, 44, 3, 3, 0, 11, 3, January/3/2022/6:42, 10
org.jfree.chart.XYBarChartTest, 55, 101, 0.6474358974358975, 24, 5, 2, 3, 19, 8, January/3/2022/6:42, 8
org.jfree.chart.block.ColorBlockTest, 46, 60, 0.5660377358490566, 44, 3, 3, 0, 11, 4, January/3/2022/6:42, 7
org.jfree.chart.urls.CustomCategoryURLGeneratorTest, 71, 72, 0.5034965034965035, 69, 5, 5, 0, 14, 5, January/3/2022/6:42, 11
org.jfree.chart.renderer.xy.XYErrorRendererTest, 75, 92, 0.5508982035928144, 73, 9, 9, 0, 17, 9, January/3/2022/6:42, 10
org.jfree.chart.XYLineChartTest, 55, 98, 0.6405228758169934, 24, 5, 2, 3, 19, 8, January/3/2022/6:42, 8
org.jfree.chart.block.LineBorderTest, 29, 68, 0.7010309278350515, 27, 3, 3, 0, 4, 3, January/3/2022/6:42, 9
org.jfree.chart.PieChartTest$LocalListener, 6, 98, 0.9423076923076923, 0, 1, 0, 1, 0, 1, January/3/2022/6:42, 7
org.jfree.chart.AreaChartTest$LocalListener, 6, 161, 0.9640718562874252, 0, 1, 0, 1, 0, 1, January/3/2022/6:42, 9
org.jfree.chart.renderer.AbstractRendererTest, 464, 226, 0.32753623188405795, 447, 14, 14, 0, 76, 15, January/3/2022/6:42, 17
org.jfree.chart.renderer.category.StatisticalBarRendererTest, 127, 131, 0.5077519379844961, 58, 11, 6, 5, 20, 16, January/3/2022/6:42, 13
org.jfree.chart.renderer.xy.DeviationStepRendererTest, 36, 64, 0.64, 34, 5, 5, 0, 10, 5, January/3/2022/6:42, 5
