file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\renderer\xy\XYBubbleRendererTest.java,org.jfree.chart.renderer.xy.XYBubbleRendererTest,class,10,10,0,10,6,1,0,15,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,72,0,0,0,0,0,8,47,39,0,25,0,0,0,0,78,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\StackedAreaChartTest.java,org.jfree.chart.StackedAreaChartTest,class,15,16,1,15,9,1,0,21,0,0.16666667,1.0,1.0,6,1,5,1,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,57,1,0,0,1,0,11,26,19,2,19,1,0,1,0,114,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\labels\StandardXYToolTipGeneratorTest.java,org.jfree.chart.labels.StandardXYToolTipGeneratorTest,class,4,4,0,4,5,1,0,9,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,66,0,0,0,0,0,10,0,33,0,19,0,0,0,0,57,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\axis\LogarithmicAxisTest.java,org.jfree.chart.axis.LogarithmicAxisTest$MyLogarithmicAxis,innerclass,1,1,0,1,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\time\DayTest.java,org.jfree.data.time.DayTest,class,4,5,1,4,39,1,0,43,561,0.0,0.0,0.0,34,0,30,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,59,299,0,0,0,8,0,12,145,85,7,83,1,0,0,8,153,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\renderer\category\AreaRendererTest.java,org.jfree.chart.renderer.category.AreaRendererTest,class,10,10,0,10,6,1,0,20,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,58,0,0,0,0,0,13,23,16,0,16,0,0,0,0,71,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\renderer\xy\StandardXYItemRendererTest.java,org.jfree.chart.renderer.xy.StandardXYItemRendererTest,class,13,13,0,13,7,1,0,40,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,128,0,0,0,0,0,12,53,33,0,33,0,0,0,0,107,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\statistics\SimpleHistogramBinTest.java,org.jfree.data.statistics.SimpleHistogramBinTest,class,3,3,0,3,5,1,0,12,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,78,0,0,0,0,0,0,55,22,0,14,0,0,0,0,47,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\statistics\StatisticsTest.java,org.jfree.data.statistics.StatisticsTest,class,1,1,0,1,20,1,0,11,66,0.9166667,0.015151516,0.015151516,12,0,12,0,0,0,12,0,0,0,1,1,0,0,0,1,1,0,20,275,0,0,0,8,0,0,200,83,0,28,1,0,0,0,69,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\time\MinuteTest.java,org.jfree.data.time.MinuteTest,class,6,7,1,6,31,1,0,37,351,0.0,0.0,0.0,27,0,24,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,61,270,0,0,0,7,0,10,171,75,0,71,1,0,0,6,124,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\annotations\XYBoxAnnotationTest.java,org.jfree.chart.annotations.XYBoxAnnotationTest,class,10,10,0,10,8,1,0,15,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,95,0,0,0,1,0,5,127,33,0,25,1,0,0,4,94,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\plot\dial\DialBackgroundTest.java,org.jfree.chart.plot.dial.DialBackgroundTest,class,5,5,0,5,4,1,0,15,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,55,0,0,0,0,0,0,16,15,0,11,0,0,0,0,53,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\plot\dial\DialValueIndicatorTest.java,org.jfree.chart.plot.dial.DialValueIndicatorTest,class,5,5,0,5,4,1,0,26,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,87,0,0,0,0,0,2,50,11,0,11,0,0,0,0,57,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\plot\pie\PieLabelRecordTest.java,org.jfree.chart.plot.pie.PieLabelRecordTest,class,4,4,0,4,3,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,36,90,20,0,6,0,0,0,0,37,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYIntervalSeriesTest.java,org.jfree.data.xy.XYIntervalSeriesTest,class,5,5,0,5,13,1,0,27,46,0.6923077,0.14102565,0.14102565,13,0,13,0,0,0,13,0,0,0,2,1,0,1,0,1,1,0,1,149,0,0,0,0,0,19,275,23,0,17,0,0,0,0,105,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\renderer\category\GanttRendererTest.java,org.jfree.chart.renderer.category.GanttRendererTest,class,4,4,0,4,5,1,0,14,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,53,0,0,0,0,0,0,20,11,0,11,0,0,0,0,45,1,0
