class, ncloc, cloc, dc, testMethodsLoc, numberOfMethods, numberOfTestMethods, numberOfFunctionalMethods, rfc, wmc, gitFileAge, gitTotCommits
org.jfree.chart.urls.TimeSeriesURLGeneratorTest, 43, 73, 0.6293103448275862, 41, 4, 4, 0, 8, 4, January/3/2022/6:42, 9
org.jfree.chart.annotations.XYShapeAnnotationTest, 52, 105, 0.6687898089171974, 50, 5, 5, 0, 9, 5, January/3/2022/6:42, 9
org.jfree.data.flow.DefaultFlowDatasetTest, 46, 70, 0.603448275862069, 44, 6, 6, 0, 11, 6, January/3/2022/6:42, 3
org.jfree.chart.renderer.category.WaterfallBarRendererTest, 58, 114, 0.6627906976744186, 56, 6, 6, 0, 16, 6, January/3/2022/6:42, 11
org.jfree.chart.labels.ItemLabelPositionTest, 12, 55, 0.8208955223880597, 10, 2, 2, 0, 2, 2, January/1/2022/2:44, 5
org.jfree.chart.axis.DateTickUnitTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 3, 3, January/3/2022/6:42, 7
org.jfree.data.time.TimePeriodAnchorTest, 12, 50, 0.8064516129032258, 10, 2, 2, 0, 3, 2, January/3/2022/6:42, 6
org.jfree.chart.plot.compass.PinNeedleTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 6, 3, January/3/2022/6:42, 3
org.jfree.chart.block.RectangleConstraintTest, 42, 76, 0.6440677966101694, 39, 1, 1, 0, 2, 1, January/1/2022/2:44, 5
org.jfree.chart.plot.compass.ArrowNeedleTest, 24, 55, 0.6962025316455697, 22, 3, 3, 0, 7, 3, January/3/2022/6:42, 3
org.jfree.data.DomainOrderTest, 29, 54, 0.6506024096385542, 27, 3, 3, 0, 5, 3, January/3/2022/6:42, 6
org.jfree.data.function.NormalDistributionFunction2DTest, 27, 66, 0.7096774193548387, 24, 4, 4, 0, 6, 4, January/1/2022/2:44, 5
org.jfree.chart.imagemap.StandardToolTipTagFragmentGeneratorTest, 7, 52, 0.8813559322033898, 5, 1, 1, 0, 2, 1, January/1/2022/2:44, 3
org.jfree.data.time.TimeSeriesDataItemTest, 21, 64, 0.7529411764705882, 19, 3, 3, 0, 4, 3, January/3/2022/6:42, 7
org.jfree.chart.plot.compass.ShipNeedleTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 6, 3, January/3/2022/6:42, 3
org.jfree.chart.plot.compass.PointerNeedleTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 6, 3, January/3/2022/6:42, 3
org.jfree.chart.block.LineBorderTest, 29, 68, 0.7010309278350515, 27, 3, 3, 0, 4, 3, January/3/2022/6:42, 9
org.jfree.data.xy.YWithXIntervalTest, 28, 54, 0.6585365853658537, 26, 3, 3, 0, 4, 3, January/3/2022/6:42, 6
org.jfree.chart.labels.MultipleXYSeriesLabelGeneratorTest, 45, 68, 0.6017699115044248, 43, 5, 5, 0, 10, 5, January/3/2022/6:42, 9
org.jfree.chart.urls.CustomPieURLGeneratorTest, 39, 64, 0.6213592233009708, 37, 4, 4, 0, 10, 4, January/3/2022/6:42, 10
org.jfree.chart.labels.StandardFlowLabelGeneratorTest, 13, 51, 0.796875, 11, 2, 2, 0, 2, 2, January/3/2022/6:42, 3
org.jfree.data.flow.FlowKeyTest, 28, 54, 0.6585365853658537, 26, 3, 3, 0, 7, 3, January/3/2022/6:42, 3
org.jfree.chart.labels.StandardPieSectionLabelGeneratorTest, 51, 86, 0.6277372262773723, 49, 5, 5, 0, 11, 5, January/3/2022/6:42, 9
org.jfree.data.statistics.BoxAndWhiskerItemTest, 13, 55, 0.8088235294117647, 11, 2, 2, 0, 2, 2, January/3/2022/6:42, 7
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGeneratorTest, 7, 54, 0.8852459016393442, 5, 1, 1, 0, 2, 1, January/1/2022/2:44, 3
org.jfree.chart.axis.ModuloAxisTest, 31, 59, 0.6555555555555556, 29, 4, 4, 0, 9, 4, January/3/2022/6:42, 6
org.jfree.data.xy.XYCoordinateTest, 33, 59, 0.6413043478260869, 31, 4, 4, 0, 5, 4, January/3/2022/6:42, 6
org.jfree.data.time.DateRangeTest, 34, 60, 0.6382978723404256, 32, 4, 4, 0, 8, 4, January/3/2022/6:42, 6
org.jfree.chart.axis.QuarterDateFormatTest, 41, 71, 0.6339285714285714, 39, 4, 4, 0, 9, 4, January/3/2022/6:42, 6
org.jfree.chart.axis.CategoryLabelPositionTest, 45, 87, 0.6590909090909091, 43, 3, 3, 0, 4, 3, January/3/2022/6:42, 9
org.jfree.chart.internal.ArgsTest, 14, 40, 0.7407407407407407, 12, 1, 1, 0, 2, 1, January/1/2022/2:44, 3
org.jfree.chart.axis.CategoryAnchorTest, 23, 54, 0.7012987012987013, 21, 3, 3, 0, 5, 3, January/3/2022/6:42, 6
org.jfree.chart.renderer.DefaultPolarItemRendererTest, 35, 59, 0.6276595744680851, 33, 4, 4, 0, 9, 4, January/3/2022/6:42, 7
org.jfree.chart.labels.ItemLabelAnchorTest, 11, 50, 0.819672131147541, 9, 2, 2, 0, 4, 2, January/3/2022/6:42, 6
org.jfree.chart.renderer.xy.VectorRendererTest, 36, 66, 0.6470588235294118, 34, 5, 5, 0, 10, 5, January/3/2022/6:42, 9
org.jfree.data.xy.YIntervalDataItemTest, 44, 68, 0.6071428571428571, 41, 4, 4, 0, 12, 4, January/3/2022/6:42, 8
org.jfree.chart.labels.IntervalCategoryToolTipGeneratorTest, 43, 88, 0.6717557251908397, 41, 6, 6, 0, 11, 6, January/3/2022/6:42, 9
